信義房屋天母七段店, 02-28733322,台北市士林區中山北路七段132號
信義房屋長春吉林店, 02-25115888,台北市中山區長春路122號
信義房屋長春龍江店, 02-25157555,台北市中山區長春路263號
信義房屋松江南京店, 02-25093211,台北市中山區南京東路二段148號1樓
信義房屋南京建國店, 02-25169555,台北市中山區南京東路三段84號1樓
信義房屋復興民生店, 02-25066090,台北市中山區復興北路272號1樓
信義房屋大直樂群店, 02-25320707,台北市中山區樂群二路166號
信義房屋大直重劃店, 02-85011866,台北市中山區樂群三路71號
信義房屋捷運南門店, 02-23318000,台北市中正區中華路二段73號
信義房屋仁愛杭州店, 02-23418800,台北市中正區仁愛路一段43號1樓
信義房屋和平西路店, 02-23697666,台北市中正區和平西路一段102號
信義房屋忠孝華山店, 02-23955666,台北市中正區忠孝東路2段18號
信義房屋忠孝店, 02-23975007,台北市中正區忠孝東路二段118號
信義房屋台北站前店, 02-23118282,台北市中正區重慶南路一段131號
信義房屋建國中學店, 02-23969000,台北市中正區重慶南路三段7號
信義房屋忠孝新生店, 02-23967000,台北市中正區新生南路一段106之1號
信義房屋新生店, 02-23210645,台北市中正區新生南路一段136號
信義房屋南門店, 02-23511299,台北市中正區羅斯福路一段85號
信義房屋台大店, 02-23670101,台北市中正區羅斯福路三段236號1樓
信義房屋西湖捷運店, 02-87519988,台北市內湖區內湖路一段329號
信義房屋西湖店, 02-26596666,台北市內湖區內湖路一段589號一樓
信義房屋內湖港墘店, 02-27992288,台北市內湖區內湖路一段673號
信義房屋文德捷運店, 02-26583777,台北市內湖區文德路149號
信義房屋內湖文德店, 02-87978798,台北市內湖區文德路34號
信義房屋內湖民權店, 02-27965050,台北市內湖區民權東路六段151－3號1樓
信義房屋民權麗湖店, 02-26318816,台北市內湖區民權東路六段467號
信義房屋內湖店, 02-27923737,台北市內湖區成功路三段159號
信義房屋內湖明湖店, 02-26347070,台北市內湖區成功路五段426號1樓
信義房屋內湖大湖店, 02-87927171,台北市內湖區成功路四段360號
信義房屋內湖五期店, 02-87923666,台北市內湖區行善路237號
信義房屋內湖行善店, 02-87901878,台北市內湖區行善路37號
信義房屋捷運東湖店, 02-26306868,台北市內湖區東湖路24號
信義房屋內湖捷運店, 02-87917799,台北市內湖區金龍路1號
信義房屋內湖星雲店, 02-87911155,台北市內湖區星雲街208號
信義房屋東湖店, 02-26328001,台北市內湖區康寧路三段20號1樓
信義房屋內湖園區店, 02-26580999,台北市內湖區瑞光路220號
信義房屋文山試院店, 02-22363888,台北市文山區木柵路一段233號
信義房屋木柵再興店, 02-29363377,台北市文山區木柵路二段84號1樓
信義房屋木柵中心店, 02-29367777,台北市文山區木柵路三段31號
信義房屋文山木新店, 02-29363333,台北市文山區木新路三段186號
信義房屋景美女中店, 02-29397999,台北市文山區木新路三段345號1樓
信義房屋捷運辛亥店, 02-29301566,台北市文山區辛亥路四段162號
信義房屋文山政大店, 02-29375511,台北市文山區指南路一段55號1樓
信義房屋捷運木柵店, 02-89781188,台北市文山區軍功路1號
信義房屋景美景中店, 02-86636699,台北市文山區景中街43號
信義房屋景美景興店, 02-29312299,台北市文山區景興路12號
信義房屋文山興隆店, 02-29355007,台北市文山區興隆路二段148號1樓
信義房屋萬芳醫院店, 02-29342666,台北市文山區興隆路三段18號
信義房屋師大分部店, 02-29306288,台北市文山區羅斯福路五段168號
信義房屋文山萬隆店, 02-29307997,台北市文山區羅斯福路五段256號
信義房屋景美捷運店, 02-29344654,台北市文山區羅斯福路六段262號1樓
信義房屋北投店, 02-28964222,台北市北投區中央北路一段46號1樓
信義房屋新北投店, 02-28973880,台北市北投區中和街36號
信義房屋石牌致遠店, 02-28262211,台北市北投區石牌路一段89號
信義房屋石牌行義店, 02-28751111,台北市北投區石牌路二段345－1號
信義房屋北投捷運店, 02-28960856,台北市北投區光明路26號1樓
信義房屋唭哩岸店, 02-89785888,台北市北投區西安街二段281號
信義房屋石牌明德店, 02-28231333,台北市北投區明德路98號
信義房屋關渡店, 02-28586262,台北市北投區知行路315號
信義房屋石牌店, 02-28225500,台北市北投區裕民四路3號
信義房屋敦北八德店, 02-25708588,台北市松山區八德路三段138號
信義房屋八德光復店, 02-27628282,台北市松山區八德路四段76號1樓
信義房屋民生店, 02-27638888,台北市松山區民生東路5段62號
信義房屋民生圓環店, 02-27603333,台北市松山區民生東路五段190號
信義房屋敦化延吉店, 02-89781088,台北市松山區延吉街37號
信義房屋南京三民店, 02-27471122,台北市松山區南京東路五段79號1樓
信義房屋南京店, 02-25701111,台北市松山區南京東路四段102號
信義房屋復興南京店, 02-25461155,台北市松山區復興北路185號
信義房屋信義光復店, 02-27291717,台北市信義區光復南路467－2號
信義房屋六張犁店, 02-23784000,台北市信義區和平東路三段305號1樓
信義房屋信義松高店, 02-27585988,台北市信義區忠孝東路五段236巷6之2號
信義房屋世貿松山店, 02-87893322,台北市信義區忠孝東路五段428號1樓
信義房屋忠孝市府店, 02-37653322,台北市信義區忠孝東路五段51號1樓
信義房屋松山站前店, 02-87871189,台北市信義區松山路222號1樓
信義房屋信義松仁店, 02-27297000,台北市信義區松仁路166號
信義房屋永春松德店, 02-23466868,台北市信義區松德路119號
信義房屋代理三部店, 02-27228686,台北市信義區信義路五段100號8樓
信義房屋代理二部店, 02-27225858,台北市信義區信義路五段100號8樓
信義房屋代理一部店, 02-27228686,台北市信義區信義路五段100號8樓
信義房屋信義101店, 02-27236168,台北市信義區信義路五段100號之1
信義房屋世貿松德店, 02-23466292,台北市信義區信義路六段8號
信義房屋信義世貿店, 02-23785808,台北市信義區基隆路二段105號
信義房屋世貿莊敬店, 02-27227171,台北市信義區莊敬路297號1樓
信義房屋忠孝逸仙店, 02-23451777,台北市信義區逸仙路28號
信義房屋南港園區店, 02-27821234,台北市南港區三重路43號
信義房屋忠孝玉成店, 02-26548866,台北市南港區忠孝東路五段988號1樓
信義房屋南港昆陽店, 02-27893338,台北市南港區忠孝東路六段386號
信義房屋南港店, 02-26522121,台北市南港區研究院路一段71號一樓
信義房屋南港重陽店, 02-27889985,台北市南港區重陽路133號
信義房屋南港站前店, 02-27831515,台北市南港區興華路73號一樓
信義房屋捷運西門店, 02-23115353,台北市萬華區中華路一段170－1號1樓
信義房屋萬華店, 02-23360202,台北市萬華區中華路二段138號
信義房屋中華桂林店, 02-23080101,台北市萬華區桂林路6號
信義房屋萬華萬大店, 02-23099999,台北市萬華區萬大路235號1樓
信義房屋三重三和店, 02-29777890,新北市三重區三和路二段69號
信義房屋三重重劃店, 02-82879998,新北市三重區三信路128之1號
信義房屋三重五華店, 02-82879922,新北市三重區五華街236號
信義房屋三重自強店, 02-29896000,新北市三重區自強路四段62號1樓
信義房屋三重店, 02-29840110,新北市三重區重陽路四段156號
信義房屋台北橋店, 02-29767070,新北市三重區重新路二段10號1樓
信義房屋三重重新店, 02-29748080,新北市三重區重新路三段108號
信義房屋三重菜寮店, 02-89729900,新北市三重區重新路四段94號1樓
信義房屋三重集美店, 02-89727000,新北市三重區集美街217號1樓
信義房屋三峽大義店, 02-89780123,新北市三峽區大義路258號1樓
信義房屋三峽北大店, 02-26718120,新北市三峽區大學路90號
信義房屋土城海山店, 02-22607700,新北市土城區明德路二段161號
信義房屋土城金城店, 02-22642211,新北市土城區金城路三段27號1樓
信義房屋土城裕民店, 02-22732323,新北市土城區裕民路83之1號
信義房屋土城店, 02-22701660,新北市土城區學府路一段160號
信義房屋中和積穗店, 02-22263003,新北市中和區中山路三段103號
信義房屋中和中山店, 02-22469000,新北市中和區中和路5號1樓
信義房屋四號公園店, 02-29491515,新北市中和區安平路192號1樓
信義房屋南勢角店, 02-29427700,新北市中和區安樂路10號1樓
信義房屋中和宜安店, 02-22319868,新北市中和區宜安路122號
信義房屋中和店, 02-82431111,新北市中和區連城路111號
信義房屋中和復興店, 02-82456000,新北市中和區復興路251號
信義房屋捷運景平店, 02-22499900,新北市中和區景平路447號
信義房屋中和景安店, 02-29476000,新北市中和區景平路472號
信義房屋中和莒光店, 02-29641100,新北市中和區德光路40號
信義房屋五股店, 02-82958166,新北市五股區成泰路二段176號
信義房屋永和樂華店, 02-86606699,新北市永和區中山路一段147號一樓
信義房屋雙和店, 02-29488000,新北市永和區中正路107號
信義房屋永和店, 02-29243103,新北市永和區中正路399號
信義房屋永安店, 02-29281340,新北市永和區中和路523號
信義房屋仁愛公園店, 02-89237171,新北市永和區仁愛路315號1樓
信義房屋永和永樂店, 02-29283000,新北市永和區永和路一段115－1號
信義房屋永和頂溪店, 02-29203222,新北市永和區永和路二段161號
信義房屋永和成功店, 02-29267688,新北市永和區成功路二段45號
信義房屋永和竹林店, 02-22329111,新北市永和區竹林路118號
信義房屋永和永利店, 02-82317888,新北市永和區林森路86號
信義房屋永和秀朗店, 02-29272155,新北市永和區得和路271號
信義房屋永和福和店, 02-29247171,新北市永和區福和路194號
信義房屋汐科店, 02-26426655,新北市汐止區大同路二段208號
信義房屋汐止樟樹店, 02-26436600,新北市汐止區工建路64號
信義房屋汐止店, 02-26947611,新北市汐止區中興路103號1樓
信義房屋汐止明峰店, 02-26945522,新北市汐止區明峰街106號
信義房屋汐止建成店, 02-26498777,新北市汐止區建成路27號
信義房屋新台五店, 02-26428282,新北市汐止區新台五路一段167號1樓
信義房屋汐止車站店, 02-26471333,新北市汐止區新台五路二段36號
信義房屋汐止福德店, 02-26923388,新北市汐止區福德一路110號
信義房屋板橋中山店, 02-29548884,新北市板橋區中山路二段191號
信義房屋板橋中正店, 02-29600999,新北市板橋區中正路192號
信義房屋板橋新站店, 02-82512388,新北市板橋區文化路一段144號
信義房屋板橋店, 02-22550800,新北市板橋區文化路一段389號
信義房屋新埔捷運店, 02-22521118,新北市板橋區文化路二段22號
信義房屋板橋江翠店, 02-22558883,新北市板橋區文化路二段337號
信義房屋板橋府中店, 02-29615771,新北市板橋區四川路一段123號
信義房屋板橋亞東店, 02-89671188,新北市板橋區南雅南路二段160號
信義房屋板橋重慶店, 02-29578299,新北市板橋區國慶路199號1樓
信義房屋板橋新海店, 02-22532188,新北市板橋區新海路110號
信義房屋新板特區店, 02-89645511,新北市板橋區漢生東路151號1樓
信義房屋板橋海山店, 02-89530188,新北市板橋區漢生東路320號1樓
信義房屋篤行店, 02-89781688,新北市板橋區篤行路二段148號
信義房屋板橋雙十店, 02-82525599,新北市板橋區雙十路二段14號
信義房屋林口中山店, 02-89781666,新北市林口區中山路536號
信義房屋林口店, 02-26002088,新北市林口區文化二路一段246號
信義房屋林口站前店, 02-26086666,新北市林口區文化三路一段169號
信義房屋林口捷運店, 02-26087000,新北市林口區文化三路一段575號
信義房屋泰山店, 02-22967438,新北市泰山區仁愛路124號
信義房屋泰山明志店, 02-22977733,新北市泰山區明志路2段19號
信義房屋淡水店, 02-26203688,新北市淡水區中正東路55號
信義房屋紅樹林店, 02-26243000,新北市淡水區中正東路二段67號1樓
信義房屋淡水北新店, 02-86310809,新北市淡水區北新路218號
信義房屋竹圍店, 02-88097588,新北市淡水區民權路143號1樓
信義房屋關渡藝大店, 02-28093889,新北市淡水區自強路98－1號
信義房屋淡水海灣店, 02-28050080,新北市淡水區沙崙路331號
信義房屋淡水新市店, 02-26258000,新北市淡水區新市一路三段1號
信義房屋淡水新春店, 02-26262200,新北市淡水區新春街200號
信義房屋新店中央店, 02-22182288,新北市新店區中央路149號1樓
信義房屋新店中正店, 02-29101999,新北市新店區中正路157號1樓
信義房屋新店中興店, 02-29171212,新北市新店區中興路三段138號
信義房屋市公所店, 02-89111111,新北市新店區北新路一段227號
信義房屋新店總站店, 02-29118000,新北市新店區北新路一段33號
信義房屋新店七張店, 02-29171010,新北市新店區北新路二段106號
信義房屋大坪林店, 02-29173020,新北市新店區北新路三段103號一樓
信義房屋新店民族店, 02-29107666,新北市新店區民族路16－1號
信義房屋新店民權店, 02-29109900,新北市新店區民權路68號
信義房屋安康安民店, 02-22125666,新北市新店區安民街248號
信義房屋新店安康店, 02-22122992,新北市新店區安和路一段11號1樓
信義房屋安康安德店, 02-22127766,新北市新店區安康路二段152號
信義房屋中興寶橋店, 02-29123388,新北市新店區寶橋路84號
信義房屋新莊中平店, 02-22769000,新北市新莊區中平路265號
信義房屋新莊捷運店, 02-22016000,新北市新莊區中正路331號
信義房屋新莊總站店, 02-29041666,新北市新莊區中正路891之46號1樓
信義房屋新莊頭前店, 02-22772233,新北市新莊區中原東路129號
信義房屋新莊中原店, 02-29969121,新北市新莊區中原路145號1樓
信義房屋民安西路店, 02-22069999,新北市新莊區民安西路87號
信義房屋新莊民安店, 02-22038338,新北市新莊區民安路218號
信義房屋新莊店, 02-29907271,新北市新莊區幸福路739號
信義房屋新莊丹鳳店, 02-29023000,新北市新莊區富國路89號
信義房屋新莊公園店, 02-29967000,新北市新莊區復興路一段214號1樓
信義房屋新莊新泰店, 02-89919917,新北市新莊區新泰路230號
信義房屋三峽大雅店, 02-89706999,新北市樹林區大雅路260號
信義房屋樹林店, 02-26826380,新北市樹林區中山路1段141號
信義房屋樹林中華店, 02-86869555,新北市樹林區中華路245號
信義房屋蘆洲捷運店, 02-22880999,新北市蘆洲區三民路129號1樓
信義房屋蘆洲總站店, 02-82859898,新北市蘆洲區三民路577號
信義房屋徐匯中學店, 02-89782288,新北市蘆洲區中山一路60號
信義房屋蘆洲中正店, 02-82825500,新北市蘆洲區中正路355號
信義房屋蘆洲光華店, 02-22890088,新北市蘆洲區光華路166號1樓
信義房屋蘆洲長榮店, 02-22851188,新北市蘆洲區長榮路286號1樓
信義房屋蘆洲店, 02-22898800,新北市蘆洲區集賢路226－2號
信義房屋八德大和店, 03-3621000,桃園縣八德市大和路140號
信義房屋大湳店, 03-3771377,桃園縣八德市介壽路一段778號一樓
信義房屋八德介壽店, 03-2860303,桃園縣八德市介壽路一段929號
信義房屋中山東路店, 03-4651999,桃園縣中壢市中山東路三段65號
信義房屋內壢店, 03-2860276,桃園縣中壢市中華路一段340號1樓
信義房屋中壢站前店, 03-4273999,桃園縣中壢市元化路51號
信義房屋中壢延平店, 03-4221151,桃園縣中壢市延平路296號
信義房屋內壢莊敬店, 03-4518858,桃園縣中壢市莊敬路807號1樓
信義房屋中壢海華店, 03-4225656,桃園縣中壢市新生路265號
信義房屋中壢民權店, 03-4940066,桃園縣中壢市新明路269號
信義房屋內壢環中店, 03-2860688,桃園縣中壢市環中東路228號
信義房屋中壢環中店, 03-4651100,桃園縣中壢市環中東路912號
信義房屋中壢店, 03-4558282,桃園縣中壢市環北路359號
信義房屋平鎮店, 03-4013399,桃園縣平鎮市民族路二段103號
信義房屋三民店, 03-3646622,桃園縣桃園市三民路三段466號
信義房屋大業寶山店, 03-3579977,桃園縣桃園市大業路一段327號
信義房屋大興西路店, 03-3551388,桃園縣桃園市大興西路二段4號1樓
信義房屋縣府店, 03-3362000,桃園縣桃園市中山路520號
信義房屋桃園中正店, 03-3571010,桃園縣桃園市中正路1019號1樓
信義房屋中正藝文店, 03-2860033,桃園縣桃園市中正路1265號
信義房屋中正特區店, 03-2860111,桃園縣桃園市中正路897號
信義房屋南平藝文店, 03-3557000,桃園縣桃園市桃園市南平路468號
信義房屋國際店, 03-2203737,桃園縣桃園市國際路一段1184號
信義房屋經國店, 03-3586600,桃園縣桃園市經國路395號
信義房屋桃園龍安店, 03-3703366,桃園縣桃園市龍安街148號
信義房屋大有寶山店, 03-3178855,桃園縣桃園市寶山街202號
信義房屋林口長庚店, 03-3289998,桃園縣龜山鄉復興一路130之1號
信義房屋南崁中山店, 03-3125252,桃園縣蘆竹鄉中山路55號1樓
信義房屋南崁中正店, 03-2127733,桃園縣蘆竹鄉中正路142號
信義房屋南崁店, 03-3218383,桃園縣蘆竹鄉中正路91號一樓
信義房屋南崁吉林店, 03-2860099,桃園縣蘆竹鄉吉林路32號1樓
信義房屋南崁奉化店, 03-3217070,桃園縣蘆竹鄉奉化路182號
信義房屋南崁忠孝店, 03-2860777,桃園縣蘆竹鄉忠孝西路52號
信義房屋竹北文興店, 03-6577799,新竹縣竹北市文興路一段100號
信義房屋竹北高鐵店, 03-6675111,新竹縣竹北市文興路二段88號
信義房屋竹北縣政店, 03-5513333,新竹縣竹北市光明六路11號1樓
信義房屋竹北店, 03-5541616,新竹縣竹北市光明六路164號
信義房屋竹北台大店, 03-5505522,新竹縣竹北市光明六路東一段222號1樓
信義房屋竹北嘉豐店, 03-6583288,新竹縣竹北市竹北市嘉豐六路二段30號1樓
信義房屋竹北自強店, 03-5505000,新竹縣竹北市自強南路49號
信義房屋竹北台科大店, 03-6575088,新竹縣竹北市科大一路89號
信義房屋竹北勝利店, 03-6587688,新竹縣竹北市莊敬五街51號
信義房屋竹北莊敬店, 03-6590288,新竹縣竹北市莊敬南路68號
信義房屋竹北文化店, 03-6571777,新竹縣竹北市縣政二路249號1樓
信義房屋新竹中央店, 03-6590688,新竹市新竹市中央路155號
信義房屋竹科店, 03-5635500,新竹市新竹市光復路一段284號
信義房屋園區店, 03-5798000,新竹市新竹市光復路一段625號
信義房屋清大店, 03-5736000,新竹市新竹市光復路二段316號
信義房屋新竹學府店, 03-5160066,新竹市新竹市東山街103號1樓
信義房屋世博店, 03-6590000,新竹市新竹市東光路85號1樓
信義房屋武陵店, 03-5408080,新竹市新竹市武陵路60號
信義房屋南大店, 03-5616000,新竹市新竹市南大路526號
信義房屋公道五店, 03-5711166,新竹市新竹市建中路106號
信義房屋公學店, 03-5740123,新竹市新竹市新源街106號
信義房屋新竹經國店, 03-6590123,新竹市新竹市經國路二段549號1樓
信義房屋關埔站前店, 03-5670011,新竹市新竹市關新路187號1樓
信義房屋關埔店, 03-5790666,新竹市新竹市關新路20號
信義房屋三民綠光店, 03-5359966,新竹市新竹市鐵道路一段16號
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
信義房屋大里中興店, 04-24862200,台中市大里區中興路二段395號
信義房屋大里國光店, 04-24076888,台中市大里區國光路二段553之3號
信義房屋大里德芳店, 04-24866767,台中市大里區德芳南路298號
信義房屋太平新光店, 04-23980777,台中市太平區樹德路72號
信義房屋民俗公園店, 04-22415500,台中市北屯區大連路二段207號
信義房屋水湳經貿店, 04-22937722,台中市北屯區中清路二段488號
信義房屋文心崇德店, 04-22347777,台中市北屯區文心路四段532號
信義房屋文心昌平店, 04-22469900,台中市北屯區文心路四段805號
信義房屋北屯松竹店, 04-22410011,台中市北屯區松竹路二段157號
信義房屋崇德店, 04-22435100,台中市北屯區崇德路二段342號
信義房屋崇德11期店, 04-24222499,台中市北屯區崇德路三段163號
信義房屋北區一中店, 04-22290088,台中市北區三民路三段210－8號
信義房屋北區健行店, 04-22052200,台中市北區中清路一段266號
信義房屋文心中清店, 04-22914400,台中市北區中清路一段878號1樓
信義房屋北區學士店, 04-22337500,台中市北區進化北路358號
信義房屋北區漢口店, 04-22355666,台中市北區漢口路四段258號
信義房屋大隆店, 04-23191888,台中市西屯區大隆路184號1樓
信義房屋水湳文華店, 04-23130000,台中市西屯區文心路三段326號1樓
信義房屋七期市府店, 04-22599977,台中市西屯區市政北三路109號1樓
信義房屋中科園區店, 04-24627700,台中市西屯區西屯路三段166之47號
信義房屋逢甲店, 04-27063300,台中市西屯區河南路二段386號1樓
信義房屋逢甲青海店, 04-27070811,台中市西屯區青海路二段209－5號
信義房屋中科國安店, 04-24630099,台中市西屯區國安一路85號
信義房屋逢甲12期店, 04-27003678,台中市西屯區逢甲路262號
信義房屋七期朝富店, 04-22512299,台中市西屯區朝富路58號
信義房屋西屯店, 04-23139600,台中市西屯區漢口路二段110號
信義房屋逢甲福星店, 04-24513300,台中市西屯區福星路303號
信義房屋中科店, 04-24629900,台中市西屯區福雅路141號
信義房屋台中新光店, 04-23165500,台中市西屯區臺灣大道三段46號
信義房屋西屯中港店, 04-24626011,台中市西屯區臺灣大道四段766號
信義房屋逢甲黎明店, 04-27088666,台中市西屯區黎明路三段215號1樓
信義房屋西區公益店, 04-23273288,台中市西區公益路112號1樓
信義房屋東興店, 04-23284500,台中市西區東興路三段134號
信義房屋西區美村店, 04-23012900,台中市西區美村路一段228號1樓
信義房屋美術館店, 04-23727700,台中市西區美村路一段567號
信義房屋美術園道店, 04-23726866,台中市西區美村路一段715號
信義房屋西區英才店, 04-23055878,台中市西區英才路445號
信義房屋西區精誠店, 04-23102222,台中市西區精誠路23號
信義房屋科博中港店, 04-23290788,台中市西區臺灣大道二段450號
信義房屋科博館店, 04-23299000,台中市西區館前路2號
信義房屋東區太平店, 04-22113377,台中市東區精武東路72號一樓
信義房屋大墩店, 04-24753000,台中市南屯區大墩路266號
信義房屋南屯店, 04-24719900,台中市南屯區文心南路22號
信義房屋南屯市政店, 04-23233600,台中市南屯區文心路一段516號
信義房屋南屯東興店, 04-24729088,台中市南屯區東興路2段68號
信義房屋七期河南店, 04-22540100,台中市南屯區河南路四段392號1樓
信義房屋七期惠中店, 04-22545000,台中市南屯區惠中路三段71－1號
信義房屋文心高工店, 04-22600011,台中市南區文心南路888之2號
信義房屋台中復興店, 04-22629800,台中市南區忠明南路821之3號
信義房屋國光店, 04-22850099,台中市南區國光路387號1樓
信義房屋文心復興店, 04-22620055,台中市南區復興路一段415－1號
信義房屋國圖館店, 04-22257999,台中市南區學府路178號
信義房屋彰化三民店, 04-7280088,彰化縣彰化市三民路259號
信義房屋彰化店, 04-7232828,彰化縣彰化市曉陽路26號1樓
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
信義房屋台南民生店, 06-2261818,台南市中西區民生路二段305號
信義房屋金華店, 06-2238777,台南市中西區金華路三段58號
信義房屋文賢店, 06-2807000,台南市北區文賢路518號
信義房屋北安店, 06-2815777,台南市北區北安路一段152號
信義房屋小北店, 06-2518080,台南市北區西門路四段148號
信義房屋開元店, 06-2380666,台南市北區開元路473號
信義房屋永康勝利店, 06-3113666,台南市永康區中華二路403號
信義房屋永康店, 06-3037123,台南市永康區中華路628號
信義房屋安平店, 06-3000808,台南市安平區華平路730號
信義房屋台南文化店, 06-2882858,台南市東區中華東路三段92號
信義房屋東門店, 06-2377799,台南市東區東門路二段90號
信義房屋東寧店, 06-2743977,台南市東區東寧路337號
信義房屋崇明店, 06-2680022,台南市東區崇明路345號
信義房屋成大店, 06-2008888,台南市東區勝利路115號1樓
信義房屋虎尾寮店, 06-3310606,台南市東區裕文路70號
信義房屋明誠鼎山店, 07-3925000,高雄市三民區明誠一路449號
信義房屋河堤店, 07-3485000,高雄市三民區河堤路296號
信義房屋建工店, 07-3944567,高雄市三民區建工路607號
信義房屋後驛店, 07-3125577,高雄市三民區博愛一路153號
信義房屋陽明店, 07-3893050,高雄市三民區陽明路5號1樓
信義房屋澄清店, 07-3878855,高雄市三民區澄清路535號
信義房屋大昌覺民店, 07-2620088,高雄市三民區覺民路507號
信義房屋高雄榮總店, 07-3598500,高雄市左營區民族一路1012－1號
信義房屋自由店, 07-5568000,高雄市左營區自由二路330號1樓
信義房屋自由孟子店, 07-3460222,高雄市左營區自由三路380號
信義房屋高鐵博愛店, 07-3487111,高雄市左營區重愛路227號1樓
信義房屋博愛明誠店, 07-5577800,高雄市左營區博愛二路258號1樓
信義房屋漢神巨蛋店, 07-3429000,高雄市左營區博愛三路92號1樓
信義房屋左營高鐵店, 07-3485333,高雄市左營區華夏路1163號
信義房屋華夏店, 07-2620800,高雄市左營區華夏路781號
